epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,222.764,2.62447,1.95415,1.68078,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0010496,0.0010496,0.0010496
50,225.269,1.87896,1.82269,1.48234,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0010298,0.0010298,0.0010298
51,228.651,2.3502,2.15583,1.75577,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.00101,0.00101,0.00101
52,232.097,2.42915,2.19101,1.85165,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0009902,0.0009902,0.0009902
53,235.329,2.6609,2.0446,1.83274,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0009704,0.0009704,0.0009704
54,238.45,1.89108,1.90943,1.33424,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0009506,0.0009506,0.0009506
55,241.553,2.21175,2.12584,1.79493,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0009308,0.0009308,0.0009308
56,244.534,2.03614,1.896,1.63298,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.000911,0.000911,0.000911
57,247.553,2.4664,2.03896,1.5834,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0008912,0.0008912,0.0008912
58,250.879,2.7029,1.86918,1.69891,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0008714,0.0008714,0.0008714
59,254.746,2.38142,2.2066,1.87618,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0008516,0.0008516,0.0008516
60,257.781,2.18409,2.09158,1.42572,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0008318,0.0008318,0.0008318
61,261.031,2.0092,1.84902,1.62539,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.000812,0.000812,0.000812
62,264.738,2.27641,1.86166,1.62594,0.07222,0.16089,0.01192,0.00376,2.30914,9.73158,1.97094,0.0007922,0.0007922,0.0007922
63,268.575,2.36031,1.7874,1.64355,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0007724,0.0007724,0.0007724
64,272.637,2.49759,1.90951,1.65226,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0007526,0.0007526,0.0007526
65,275.964,2.17892,1.65847,1.32829,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0007328,0.0007328,0.0007328
66,279.452,2.02429,1.73171,1.46583,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.000713,0.000713,0.000713
67,283.062,2.15821,1.79836,1.51439,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0006932,0.0006932,0.0006932
68,287.672,2.49873,1.83191,1.51108,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0006734,0.0006734,0.0006734
69,291.828,2.28306,1.90592,1.6218,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0006536,0.0006536,0.0006536
70,295.52,2.32535,1.80379,1.48159,0.19667,0.43812,0.10281,0.04253,1.88353,2.04018,1.37108,0.0006338,0.0006338,0.0006338
